year_month,fatalities,event
1997-01,44,3
1997-02,5,1
1997-03,9,1
1997-04,12,2
1997-06,0,2
1997-07,44,2
1997-09,0,2
1997-11,3,3
1997-12,0,2
1998-02,0,1
1998-03,6,3
1998-04,0,1
1998-06,0,6
1998-07,5,3
1998-08,2,1
1998-12,0,1
1999-01,0,4
1999-02,2,2
1999-04,1,2
1999-05,7,1
1999-06,5,4
1999-07,55,4
1999-08,0,2
1999-09,1,3
1999-10,4,3
1999-11,15,3
1999-12,0,7
2000-01,13,2
2000-02,1,2
2000-03,23,4
2000-04,1,6
2000-05,1,13
2000-06,0,9
2000-07,1,3
2000-08,22,4
2000-09,2,7
2000-10,5,5
2000-11,0,4
2000-12,0,1
2001-01,10,2
2001-03,0,7
2001-04,7,3
2001-05,3,6
2001-06,8,5
2001-07,0,5
2001-08,1,2
2001-09,0,2
2001-10,0,4
2001-11,1,4
2001-12,1,4
2002-01,2,5
2002-02,2,9
2002-03,0,5
2002-04,0,2
2002-06,11,3
2002-07,1,2
2002-08,0,1
2002-09,1,3
2002-10,35,4
2002-11,32,1
2003-01,2,3
2003-02,2,3
2003-03,0,2
2003-04,0,1
2003-05,4,4
2003-06,0,5
2003-07,1,4
2003-08,3,1
2003-09,2,2
2003-10,0,2
2003-11,0,3
2003-12,0,4
2004-01,10,3
2004-02,0,1
2004-03,72,5
2004-04,218,8
2004-05,700,5
2004-06,2,4
2004-07,0,3
2004-08,0,7
2004-09,0,5
2004-10,1,1
2004-11,88,5
2004-12,13,4
2005-01,1,5
2005-02,1,3
2005-03,1,5
2005-04,13,7
2005-05,1,1
2005-06,6,2
2005-07,0,1
2005-08,0,1
2005-09,1,1
2005-10,16,3
2005-11,1,4
2005-12,0,3
2006-01,2,2
2006-02,1,3
2006-03,0,5
2006-04,2,3
2006-05,0,10
2006-06,13,7
2006-07,72,2
2006-09,0,1
2006-10,0,3
2006-11,0,4
2006-12,0,1
2007-01,16,7
2007-02,0,5
2007-03,1,3
2007-04,0,5
2007-05,2,6
2007-06,1,2
2007-07,0,2
2007-08,2,8
2007-09,2,5
2007-10,0,6
2007-11,0,6
2007-12,3,16
2008-01,3,10
2008-02,44,6
2008-03,3,4
2008-04,3,5
2008-05,0,4
2008-06,0,7
2008-07,4,6
2008-08,0,4
2008-09,0,1
2008-10,12,6
2008-11,27,11
2008-12,4,8
2009-01,1,5
2009-02,4,11
2009-03,2,9
2009-04,55,9
2009-05,3,2
2009-06,1,6
2009-07,4,8
2009-08,1,3
2009-09,157,10
2009-10,4,6
2009-11,1,1
2009-12,0,3
2010-01,6,25
2010-02,19,35
2010-03,11,24
2010-04,13,28
2010-05,72,9
2010-06,2,9
2010-07,0,36
2010-08,3,21
2010-09,2,10
2010-10,10,26
2010-11,4,14
2010-12,5,17
2011-01,4,26
2011-02,6,31
2011-03,13,30
2011-04,7,31
2011-05,6,21
2011-06,26,43
2011-07,1,25
2011-08,753,18
2011-09,4,13
2011-10,15,30
2011-11,1,18
2011-12,2,27
2012-01,15,37
2012-02,6,40
2012-03,7,41
2012-04,2,30
2012-05,15,33
2012-06,13,62
2012-07,9,27
2012-08,12,36
2012-09,5,41
2012-10,5,38
2012-11,59,61
2012-12,28,58
2013-01,15,47
2013-02,11,46
2013-03,16,49
2013-04,16,42
2013-05,22,45
2013-06,34,33
2013-07,11,23
2013-08,12,45
2013-09,7,47
2013-10,6,40
2013-11,14,48
2013-12,35,54
2014-01,18,39
2014-02,15,48
2014-03,29,46
2014-04,5,38
2014-05,121,93
2014-06,14,41
2014-07,29,53
2014-08,7,44
2014-09,21,41
2014-10,20,37
2014-11,31,45
2014-12,70,52
2015-01,35,39
2015-02,19,36
2015-03,15,70
2015-04,68,58
2015-05,96,81
2015-06,4,47
2015-07,9,36
2015-08,16,55
2015-09,12,34
2015-10,19,45
2015-11,16,54
2015-12,15,59
2016-01,55,88
2016-02,59,73
2016-03,21,94
2016-04,214,81
2016-05,31,106
2016-06,22,115
2016-07,63,103
2016-08,59,103
2016-09,37,95
2016-10,36,93
2016-11,84,124
2016-12,30,89
2017-01,28,111
2017-02,37,84
2017-03,36,145
2017-04,26,190
2017-05,58,208
2017-06,94,98
2017-07,52,77
2017-08,65,137
2017-09,17,98
2017-10,33,134
2017-11,18,88
2017-12,12,67
2018-01,124,374
2018-02,77,340
2018-03,109,691
2018-04,106,385
2018-05,144,444
2018-06,119,429
2018-07,144,397
2018-08,145,466
2018-09,112,416
2018-10,124,424
2018-11,197,508
2018-12,448,489
2019-01,133,358
2019-02,135,457
2019-03,105,662
2019-04,117,369
2019-05,82,503
2019-06,248,430
2019-07,139,515
2019-08,131,581
2019-09,105,711
2019-10,130,526
2019-11,147,686
2019-12,157,681
2020-01,169,864
2020-02,109,776
2020-03,101,1155
2020-04,117,328
2020-05,148,473
2020-06,164,684
2020-07,189,831
2020-08,141,697
2020-09,133,827
2020-10,109,1754
2020-11,143,1161
2020-12,118,630
2021-01,218,867
2021-02,115,869
2021-03,162,1699
2021-04,146,733
2021-05,131,822
2021-06,211,953
2021-07,202,788
2021-08,183,704
2021-09,176,886
2021-10,139,1199
2021-11,258,1314
2021-12,188,813
2022-01,211,739
2022-02,176,948
2022-03,258,1674
2022-04,378,858
2022-05,188,1710
2022-06,213,1564
2022-07,196,1243
2022-08,203,734
2022-09,415,1492
2022-10,296,2033
2022-11,350,1650
2022-12,212,966
2023-01,219,945
2023-02,293,762
2023-03,199,1752
2023-04,251,842
2023-05,200,1099
2023-06,410,1093
2023-07,191,1279
2023-08,199,937
2023-09,180,1013
2023-10,169,1076
2023-11,206,1125
2023-12,158,692
2024-01,260,785
2024-02,158,870
2024-03,137,1568
2024-04,132,741
2024-05,198,922
2024-06,122,896
2024-07,155,803
2024-08,111,831
2024-09,139,1026
2024-10,160,802
2024-11,106,1005
