year_month,fatalities
1997-01,44
1997-02,5
1997-03,9
1997-04,12
1997-06,0
1997-07,44
1997-09,0
1997-11,3
1997-12,0
1998-02,0
1998-03,6
1998-04,0
1998-06,0
1998-07,5
1998-08,2
1998-12,0
1999-01,0
1999-02,2
1999-04,1
1999-05,7
1999-06,5
1999-07,55
1999-08,0
1999-09,1
1999-10,4
1999-11,15
1999-12,0
2000-01,13
2000-02,1
2000-03,23
2000-04,1
2000-05,1
2000-06,0
2000-07,1
2000-08,22
2000-09,2
2000-10,5
2000-11,0
2000-12,0
2001-01,10
2001-03,0
2001-04,7
2001-05,3
2001-06,8
2001-07,0
2001-08,1
2001-09,0
2001-10,0
2001-11,1
2001-12,1
2002-01,2
2002-02,2
2002-03,0
2002-04,0
2002-06,11
2002-07,1
2002-08,0
2002-09,1
2002-10,35
2002-11,32
2003-01,2
2003-02,2
2003-03,0
2003-04,0
2003-05,4
2003-06,0
2003-07,1
2003-08,3
2003-09,2
2003-10,0
2003-11,0
2003-12,0
2004-01,10
2004-02,0
2004-03,72
2004-04,218
2004-05,700
2004-06,2
2004-07,0
2004-08,0
2004-09,0
2004-10,1
2004-11,88
2004-12,13
2005-01,1
2005-02,1
2005-03,1
2005-04,13
2005-05,1
2005-06,6
2005-07,0
2005-08,0
2005-09,1
2005-10,16
2005-11,1
2005-12,0
2006-01,2
2006-02,1
2006-03,0
2006-04,2
2006-05,0
2006-06,13
2006-07,72
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,16
2007-02,0
2007-03,1
2007-04,0
2007-05,2
2007-06,1
2007-07,0
2007-08,2
2007-09,2
2007-10,0
2007-11,0
2007-12,3
2008-01,3
2008-02,44
2008-03,3
2008-04,3
2008-05,0
2008-06,0
2008-07,4
2008-08,0
2008-09,0
2008-10,12
2008-11,27
2008-12,4
2009-01,1
2009-02,4
2009-03,2
2009-04,55
2009-05,3
2009-06,1
2009-07,4
2009-08,1
2009-09,157
2009-10,4
2009-11,1
2009-12,0
2010-01,6
2010-02,19
2010-03,11
2010-04,13
2010-05,72
2010-06,2
2010-07,0
2010-08,3
2010-09,2
2010-10,10
2010-11,4
2010-12,5
2011-01,4
2011-02,6
2011-03,13
2011-04,7
2011-05,6
2011-06,26
2011-07,1
2011-08,753
2011-09,4
2011-10,15
2011-11,1
2011-12,2
2012-01,15
2012-02,6
2012-03,7
2012-04,2
2012-05,15
2012-06,13
2012-07,9
2012-08,12
2012-09,5
2012-10,5
2012-11,59
2012-12,28
2013-01,15
2013-02,11
2013-03,16
2013-04,16
2013-05,22
2013-06,34
2013-07,11
2013-08,12
2013-09,7
2013-10,6
2013-11,14
2013-12,35
2014-01,18
2014-02,15
2014-03,29
2014-04,5
2014-05,121
2014-06,14
2014-07,29
2014-08,7
2014-09,21
2014-10,20
2014-11,31
2014-12,70
2015-01,35
2015-02,19
2015-03,15
2015-04,68
2015-05,96
2015-06,4
2015-07,9
2015-08,16
2015-09,12
2015-10,19
2015-11,16
2015-12,15
2016-01,55
2016-02,59
2016-03,21
2016-04,214
2016-05,31
2016-06,22
2016-07,63
2016-08,59
2016-09,37
2016-10,36
2016-11,84
2016-12,30
2017-01,28
2017-02,37
2017-03,36
2017-04,26
2017-05,58
2017-06,94
2017-07,52
2017-08,65
2017-09,17
2017-10,33
2017-11,18
2017-12,12
2018-01,124
2018-02,77
2018-03,109
2018-04,106
2018-05,144
2018-06,119
2018-07,144
2018-08,145
2018-09,112
2018-10,124
2018-11,197
2018-12,448
2019-01,133
2019-02,135
2019-03,105
2019-04,117
2019-05,82
2019-06,248
2019-07,139
2019-08,131
2019-09,105
2019-10,130
2019-11,147
2019-12,157
2020-01,169
2020-02,109
2020-03,101
2020-04,117
2020-05,148
2020-06,164
2020-07,189
2020-08,141
2020-09,133
2020-10,109
2020-11,143
2020-12,118
2021-01,218
2021-02,115
2021-03,162
2021-04,146
2021-05,131
2021-06,211
2021-07,202
2021-08,183
2021-09,176
2021-10,139
2021-11,258
2021-12,188
2022-01,211
2022-02,176
2022-03,258
2022-04,378
2022-05,188
2022-06,213
2022-07,196
2022-08,203
2022-09,415
2022-10,296
2022-11,350
2022-12,212
2023-01,219
2023-02,293
2023-03,199
2023-04,251
2023-05,200
2023-06,410
2023-07,191
2023-08,199
2023-09,180
2023-10,169
2023-11,206
2023-12,158
2024-01,260
2024-02,158
2024-03,137
2024-04,132
2024-05,198
2024-06,122
2024-07,155
2024-08,111
2024-09,139
2024-10,160
2024-11,106
